Sango	French	Parts of Speech (e.g. Adj, N, V)
bäsïngö mosoro	contrôle financier.
bata nginza	réserver des fonds.
bêli känginza	plafond des dépenses.
bêndo tî nginza	institution financière.,
boro mosoro	capitaux propres.
bôso tî dëfängö mosoro	société de prêt.
bôso tî dëfängö nginza	société de crédit.
bôso tî lüngö-nginza	société de financement.
bôso tî mbëtïnginza	société de porte feuille.
bôsôngbi tî galëngö-nginza	organisme sans but lucratif.
bôsôngbi tî lëngö-nginza	organisme à but lucratif.
bûngbi ngêrë	coûts joints.
dakua tî mosoro	établissement financier.
dedêe nginza	liquidités.
dêfa tî halëzo	emprunt public.
dêfa tî letäa	emprunt d'Etat.
dingö âmbëtïsû tî küdä	appel des titres au remboursement.
dïrïngö ngbondö tî nginza	dévalorisation de ia monnaie.
dütïngö na mbëtïsû	détention de titres.
dütingö na ngbondö	détention de valeurs.
fângbi tî känginza	secteur de dépenses.
fängö	présentation.
fivöngö	rachat.
föngêrë	coût moyen.
fûta	débourser.
fûta tî lüngö-nginza	frais financier.
fütängö	débourrés.
fütängö kôzo	paiement anticipé; paiement par anticipation.
fütängö-kpälë	dédommagement.
galëngö-nginza	désinvestissement.
gängö na mosoro	apport de capitaux.
garantïi	garantie.
gbïänngö nginzawandê	engagement.
gbïänngö-kodëkônde	actualisation.
gerêwüngö na farânga	chiffres en francs.
gerêwüngö na ngbondö	chiffre en valeur.
gïängö	remboursement.
gogoro	réserve.
gogoro tî letäa	trésor public.
hängö-yê	estimation.
höndëngö mbâgë tî nginza	évasion fiscale.
hônga	obligation.
hônga sân-garantïi	obligation non garantie.
hônga tî nginza	besoins financiers.
hônga tî patärä	obligation négociable.
hônga tî wayöngö	obligation au porteur.
hönngö ngêrë	dépassement de coûts.
hönngö piakônde	dépassement de devis.
hünzïngö ngbondö	valeur venant à échéance.
ïrï mbëtïgio	action nomination.
kämamânginza	dépense en capital.
kângbi nginza	affecter des fonds.
kängbïngö küdä	affectation de crédits.
kängbïngö mosoro	péréquation.
kängbïngö ngêrë	répartition des coûts.
känginza tî lapöo	dépense fiscale.
känginza tî letäa	dépense de l'Etat; dépense publique.
kängö nginza	engagement de fonds.
karâtia tî lüngö-nginza	intermédiaire financier.
kiri, lapöo	taxe.
kïröngö tî ângêrë na âmatabïsi	analyse coûts-avantages.
kïtïngö	prestation.
kodë tî nginza	perspectives financières.
kodëkua tî mosoro	opération financière.
kodëkua tî nëngö nginza	système de rapports financiers.
kodëkua tî zë	opération d'emprunt.
köförö tî letäa	deniers publics.
